rank,split,avg_runs_per_game,std,p10,p90,slots_diff_vs_1,sim_games,slot_1_name,slot_1_pos,slot_1_ops,slot_1_iso,slot_1_obp,slot_1_pwr,slot_1_gbfb,slot_2_name,slot_2_pos,slot_2_ops,slot_2_iso,slot_2_obp,slot_2_pwr,slot_2_gbfb,slot_3_name,slot_3_pos,slot_3_ops,slot_3_iso,slot_3_obp,slot_3_pwr,slot_3_gbfb,slot_4_name,slot_4_pos,slot_4_ops,slot_4_iso,slot_4_obp,slot_4_pwr,slot_4_gbfb,slot_5_name,slot_5_pos,slot_5_ops,slot_5_iso,slot_5_obp,slot_5_pwr,slot_5_gbfb,slot_6_name,slot_6_pos,slot_6_ops,slot_6_iso,slot_6_obp,slot_6_pwr,slot_6_gbfb,slot_7_name,slot_7_pos,slot_7_ops,slot_7_iso,slot_7_obp,slot_7_pwr,slot_7_gbfb,slot_8_name,slot_8_pos,slot_8_ops,slot_8_iso,slot_8_obp,slot_8_pwr,slot_8_gbfb,slot_9_name,slot_9_pos,slot_9_ops,slot_9_iso,slot_9_obp,slot_9_pwr,slot_9_gbfb
1,Home vs RHP,5.8693,3.7854,1.0,11.0,0,1500,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
2,Home vs RHP,5.8607,3.8002,1.0,11.0,3,1500,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
3,Home vs RHP,5.8473,3.6945,2.0,11.0,6,1500,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
4,Home vs RHP,5.838,3.7184,1.0,11.0,5,1500,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
5,Home vs RHP,5.834,3.7382,1.0,11.0,5,1500,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
6,Home vs RHP,5.8307,3.7851,1.0,11.0,6,1500,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
7,Home vs RHP,5.8067,3.6735,2.0,11.0,4,1500,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
8,Home vs RHP,5.7747,3.729,1.0,11.0,4,1500,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
9,Home vs RHP,5.7633,3.5664,1.0,11.0,6,1500,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
10,Home vs RHP,5.752,3.6963,1.0,11.0,3,1500,Willi Castro,2B,0.817,0.176,0.369,0.372,1.26,Mickey Moniak,RF,0.988,0.25,0.394,0.364,0.76,Hunter Goodman,C,0.851,0.199,0.359,0.36,0.9,TJ Rumfield,1B,0.794,0.147,0.36,0.308,0.9,Ezequiel Tovar,SS,0.898,0.224,0.358,0.375,1.11,Tyler Freeman,DH,0.733,0.058,0.364,0.186,2.0,Jordan Beck,LF,0.753,0.166,0.318,0.346,1.26,Brenton Doyle,CF,0.861,0.194,0.364,0.36,1.06,Kyle Karros,3B,0.604,0.045,0.311,0.184,1.17
